"Department","Position","Name","Firstname","Lastname","coursename"
"Environmental Health and Engineering","Professor","Brown, Robert","Robert","Brown",NA
"Biochemistry and Molecular Biology","Professor","Brown, Terry Ray","Terry Ray","Brown",NA
"Epidemiology","Associate Professor","Brown, Todd T.","Todd T.","Brown",NA
"Biochemistry and Molecular Biology","Professor","Bryant, Floyd","Floyd","Bryant","120.600.01 Biochemistry I, 120.600.02 Biochemistry I, 120.852.01 Core Research Literature, 120.601.01 Biochemistry II, 120.601.02 Biochemistry II, 120.852.01 Core Research Literature, 120.613.01 Nucleic Acid Chemistry, 120.852.01 Core Research Literature"
"Environmental Health and Engineering","Assistant Professor","Buckley, Jessie P.","Jessie P.","Buckley","185.801.01 Exposure Sciences & Environmental Epi Journal Club"
"Environmental Health and Engineering","Associate Professor","Buckley, Timothy J.","Timothy J.","Buckley",NA
"Health Policy and Management","Assistant Professor","Bulzacchelli, Maria T.","Maria T.","Bulzacchelli",NA
"Population, Family and Reproductive Health","Associate Professor","Burke, Anne E.","Anne E.","Burke","380.760.01 Clinical Aspects of Reproductive Health, 380.749.01 Adolescent Sexual and Reproductive Health"
"Health, Behavior and Society","Assistant Professor","Burke, Jessica G.","Jessica G.","Burke",NA
"Health Policy and Management","Professor","Burke, Thomas A.","Thomas A.","Burke","317.610.01 Risk Policy, Management and Communication, 318.864.98 Current Issues in Policy Analysis, 317.610.81 Risk Policy, Management and Communication"
"International Health","Professor","Burnham, Gilbert","Gilbert","Burnham","340.692.01 Prisons, Public Health, and Human Rights, 221.613.01 Introduction to Humanitarian Emergencies, 221.722.01 Quality Assurance Management Methods for Developing Countries, 221.722.81 Quality Assurance Management Methods for Developing Countries, 221.614.01 International Political Science for PH Practitioners, 221.639.01 Health Care in Humanitarian Emergencies, 221.639.81 Health Care in Humanitarian Emergencies, 221.643.01 Armed Conflict and Health, 221.655.01 Surgical Care Needs in Low and Middle Income Countries, 221.661.01 Project Development for Primary Health Care in Developing Countries, 221.615.11 Health Emergencies in Large Populations (H.E.L.P.), 221.615.13 Health Emergencies in Large Populations (H.E.L.P.)"
"Health Policy and Management","Professor","Burton, John R.","John R.","Burton",NA
"Health Policy and Management","Professor","Bushel, Arthur","Arthur","Bushel",NA
"Health, Behavior and Society","Assistant Scientist","Buttress, Amelia","Amelia","Buttress","410.611.01 Under Pressure: Health, Wealth & Poverty"
"International Health","Professor","Caballero, Benjamin","Benjamin","Caballero",NA
"Environmental Health and Engineering","Assistant Scientist","Cadorette, Maureen A. F.","Maureen A. F.","Cadorette","188.680.81 Fundamentals of Occupational Health"
"Biostatistics","Professor","Caffo, Brian S.","Brian S.","Caffo",NA
"Health Policy and Management","Professor","Campbell, Jacquelyn","Jacquelyn","Campbell",NA
"Health, Behavior and Society","Assistant Professor","Cantrell, Mary Jennifer","Mary Jennifer","Cantrell",NA
"Mental Health","Professor","Carlson, Michelle C.","Michelle C.","Carlson","330.802.01 Seminar On Aging, Cognition and Neurodegenerative Disorders, 330.622.01 Neuroimaging: Methods and Applications in Mental and Behavioral Health, 330.802.01 Seminar On Aging, Cognition and Neurodegenerative Disorders, 330.802.01 Seminar On Aging, Cognition and Neurodegenerative Disorders, 330.623.01 Brain and Behavior in Mental Disorders, 330.802.01 Seminar On Aging, Cognition and Neurodegenerative Disorders"
"International Health","Assistant Scientist","Carter, Emily D.","Emily D.","Carter",NA
"Molecular Microbiology and Immunology","Professor","Casadevall, Arturo","Arturo","Casadevall","260.700.60 How Do We Know? Theory and Practice of Science, 260.700.81 How Do We Know? Theory and Practice of Science, 260.701.81 Anatomy of Scientific Error, 260.829.01 Summer Thesis Research"
"Environmental Health and Engineering","Professor","Casero, Robert Anthony","Robert Anthony","Casero",NA
"Health Policy and Management","Associate Professor","Castillo, Renan","Renan","Castillo","300.713.01 Research and Evaluation Methods for Health Policy I, 300.724.01 Foundations in Health Policy IV"
"Epidemiology","Professor","Castillo-Salgado, Carlos","Carlos","Castillo-Salgado","340.770.01 Public Health Surveillance, 340.769.01 Professional Epidemiology Methods, 340.701.11 Epidemiologic Applications of GIS, 340.765.89 Professional Epidemiologic Methods: Epidemiologic Intelligence and Population Health Assessments, 340.766.11 Professional Epidemiologic Methods: Surveillance, 340.767.11 Professional Epidemiologic Methods: Topics and Methods for Health Situation Analysis, 340.768.11 Professional Epidemiologic Methods: Decision Making in Health Situation Analysis, 340.663.13 Epidemiology Workshop: Interpreting and Using Epidemiologic Evidence"
"Molecular Microbiology and Immunology","Professor","Caturegli, Patrizio","Patrizio","Caturegli","260.633.01 Autoimmune Diseases of the Endocrine Glands"
"International Health","Professor","Caulfield, Laura","Laura","Caulfield","340.650.11 Nutritional Epidemiology (Sum Epi), 222.815.01 Human Nutrition Registered Dietitian (RD) Program Practicum, 222.861.01 Doctoral Seminar in Proposal Development, 222.815.01 Human Nutrition Registered Dietitian (RD) Program Practicum, 222.861.01 Doctoral Seminar in Proposal Development, 222.647.01 Nutrition Epidemiology, 222.815.01 Human Nutrition Registered Dietitian (RD) Program Practicum, 222.861.01 Doctoral Seminar in Proposal Development, 222.661.01 Designing Healthy Diets, 222.861.01 Doctoral Seminar in Proposal Development"
"Epidemiology","Professor","Celentano, David D.","David D.","Celentano","340.721.60 Epidemiologic Inference in Public Health I, 340.863.01 Doctoral Seminars in Epidemiology, 340.863.01 Doctoral Seminars in Epidemiology, 340.721.81 Epidemiologic Inference in Public Health I, 340.863.01 Doctoral Seminars in Epidemiology, 340.721.89 Epidemiologic Inference in Public Health I"
"International Health","Professor","Chaisson, Richard E.","Richard E.","Chaisson","340.612.01 Epidemiologic Basis for Tuberculosis Control, 340.612.81 Epidemiologic Basis for Tuberculosis Control"
"International Health","Associate Scientist","Chakraborty, Subhra","Subhra","Chakraborty","180.602.01 Environment and Health in Low and Middle Income Countries"
"Biostatistics","Professor","Chakravarti, Aravinda","Aravinda","Chakravarti",NA
"Health Policy and Management","Associate Professor","Chan, Kitty S.","Kitty S.","Chan","309.861.01 Graduate Seminar in Health Services Research and Policy, 309.715.01 Advanced Methods in Health Services Research: Research Design, 309.861.01 Graduate Seminar in Health Services Research and Policy, 309.861.01 Graduate Seminar in Health Services Research and Policy, 309.861.01 Graduate Seminar in Health Services Research and Policy"
"Epidemiology","Associate Professor","Chander, Geetanjali","Geetanjali","Chander",NA
"Epidemiology","Associate Scientist","Chandran, Aruna","Aruna","Chandran","340.664.01 Epidemiologic Practice Methods for Population Health Research, 600.601.86 Seminars in Public Health, 600.601.86 Seminars in Public Health"
"Environmental Health and Engineering","Professor","Chandrasegaran, Srinivasan","Srinivasan","Chandrasegaran",NA
"Health Policy and Management","Associate Scientist","Chang, Hsien-Yen","Hsien-Yen","Chang",NA
"International Health","Associate Professor","Chang, Larry Williams","Larry Williams","Chang",NA
"Biostatistics","Professor","Chatterjee, Nilanjan","Nilanjan","Chatterjee","340.733.01 Principles of Genetic Epidemiology 3"
"International Health","Associate Professor","Checkley, William","William","Checkley","223.667.11 Chronic Diseases in Low and Middle Income Countries: Prevalence and Epidemiology, 223.668.11 Chronic Diseases in Low and Middle Income Countries: Study Design and Metrics"
"Biochemistry and Molecular Biology","Senior Scientist","Chen, Haolin","Haolin","Chen",NA
"Health Policy and Management","Professor","Chen, Yubo","Yubo","Chen",NA
"Population, Family and Reproductive Health","Professor","Cheng, Tina Lee","Tina Lee","Cheng",NA
"Population, Family and Reproductive Health","Professor","Cherlin, Andrew","Andrew","Cherlin",NA
"Health, Behavior and Society","Assistant Scientist","Cherukupalli, Rajeev","Rajeev","Cherukupalli",NA
"Health, Behavior and Society","Associate Professor","Cheskin, Lawrence J.","Lawrence J.","Cheskin","410.676.01 Clinical Health Behavior Change Experience in Weight Management, 410.676.01 Clinical Health Behavior Change Experience in Weight Management, 410.675.01 Critical Analysis of Popular Diets and Dietary Supplements, 222.658.01 Critical Thinking in Nutrition, 222.659.01 Critical Thinking in Nutrition II"
"Health Policy and Management","Professor","Chien, Ching Wen","Ching Wen","Chien",NA
"Mental Health","Associate Professor","Chilcoat, Howard D.","Howard D.","Chilcoat",NA
"Health Policy and Management","Professor","Chiu, Herng-Chia","Herng-Chia","Chiu",NA
"Health, Behavior and Society","Associate Professor","Cho, Juhee","Juhee","Cho",NA
"Population, Family and Reproductive Health","Associate Scientist","Choi, Yoonjoung","Yoonjoung","Choi",NA
"International Health","Assistant Scientist","Chou, Victoria B.","Victoria B.","Chou","221.627.01 Issues in the Reduction of Maternal and Neonatal Mortality in Low Income Countries, 223.705.81 Clinical Vaccine Trials and Good Clinical Practice (GCP)"
"Population, Family and Reproductive Health","Professor","Chow, Lien Ping","Lien Ping","Chow",NA
"International Health","Professor","Christian, Parul","Parul","Christian",NA
"Health Policy and Management","Professor","Chute, Christopher G.","Christopher G.","Chute",NA
"Molecular Microbiology and Immunology","Associate Professor","Cihakova, Daniela","Daniela","Cihakova",NA
"Epidemiology","Associate Professor","Clark, Jeanne M.","Jeanne M.","Clark",NA
"Mental Health","Associate Professor","Clark, Michael R.","Michael R.","Clark",NA
"Mental Health","Assistant Professor","Clarke, Diana E.","Diana E.","Clarke","330.674.01 Suicide As a Public Health Problem, 330.674.81 Suicide As a Public Health Problem"
"Health, Behavior and Society","Assistant Professor","Cobb, Nathan K.","Nathan K.","Cobb",NA
"Health, Behavior and Society","Professor","Cohen, Joanna","Joanna","Cohen","410.668.01 Policy Interventions for Health Behavior Change"
"Biostatistics","Associate Scientist","Colantuoni, Elizabeth","Elizabeth","Colantuoni","140.655.01 Analysis of Longitudinal Data, 140.656.01 Multilevel Statistical Models in Public Health"
"International Health","Associate Professor","Coles, Christian L.","Christian L.","Coles",NA
"Epidemiology","Assistant Professor","Connor, Avonne E.","Avonne E.","Connor","340.624.01 Etiology, Prevention, and Control of Cancer"
"International Health","Associate Scientist","Constenla, Dagna O.","Dagna O.","Constenla","313.790.81 Introduction to Economic Evaluation, 313.790.81 Introduction to Economic Evaluation, 221.860.01 Health Systems Program Seminar, 221.860.01 Health Systems Program Seminar, 221.860.01 Health Systems Program Seminar, 221.860.01 Health Systems Program Seminar"
"Mental Health","Associate Professor","Cooley, Michele","Michele","Cooley",NA
"International Health","Professor","Cooper, David S.","David S.","Cooper",NA
"Health, Behavior and Society","Professor","Cooper, Lisa A.","Lisa A.","Cooper",NA
"Biostatistics","Assistant Professor","Cope, Leslie","Leslie","Cope",NA
"Molecular Microbiology and Immunology","Professor","Coppens, Isabelle","Isabelle","Coppens","260.607.01 Core Discussion of Scientific Literature: MMI, 260.607.01 Core Discussion of Scientific Literature: MMI, 260.607.01 Core Discussion of Scientific Literature: MMI"
"Epidemiology","Professor","Coresh, Josef","Josef","Coresh","340.853.01 First Year Epidemiology Doctoral Seminar, 340.607.01 Introduction to Cardiovascular Disease Epidemiology, 340.706.11 Methods and Applications of Cohort Studies"
"Environmental Health and Engineering","Associate Professor","Corn, Jacqueline","Jacqueline","Corn",NA
"Environmental Health and Engineering","Professor","Corn, Morton","Morton","Corn",NA
"Epidemiology","Professor","Cosgrove, Sara E.","Sara E.","Cosgrove",NA
"Mental Health","Professor","Costa, Paul T.","Paul T.","Costa",NA
"Biochemistry and Molecular Biology","Professor","Coulombe, Pierre A.","Pierre A.","Coulombe",NA
"Molecular Microbiology and Immunology","Professor","Cox, Andrea  L.","Andrea  L.","Cox",NA
"Epidemiology","Professor","Cox, Christopher","Christopher","Cox","340.728.01 Advanced Methods for Design and Analysis of Cohort Studies"
"Biostatistics","Professor","Crainiceanu, Ciprian M.","Ciprian M.","Crainiceanu","140.651.01 Methods in Biostatistics I, 140.652.01 Methods in Biostatistics II"
"International Health","Assistant Professor","Creanga, Andreea A.","Andreea A.","Creanga","221.810.01 Health Systems Practicum, 221.627.01 Issues in the Reduction of Maternal and Neonatal Mortality in Low Income Countries, 221.810.01 Health Systems Practicum, 221.810.01 Health Systems Practicum, 221.645.81 Large-Scale Effectiveness Evaluations of Health Programs, 221.810.01 Health Systems Practicum"
"Health Policy and Management","Assistant Professor","Crifasi, Cassandra Kercher","Cassandra Kercher","Crifasi","305.861.01 Graduate Seminar in Injury Research and Policy, 300.715.01 Research and Evaluation Methods in Health Policy II"
"Population, Family and Reproductive Health","Assistant Scientist","Crowne, Sarah Shea","Sarah Shea","Crowne",NA
"Epidemiology","Professor","Crum, Rosa","Rosa","Crum","340.601.01 Principles of Epidemiology"
"Mental Health","Assistant Professor","Cullen, Bernadette","Bernadette","Cullen",NA
"Biochemistry and Molecular Biology","Professor","Culotta, Valeria","Valeria","Culotta","120.606.01 Cellular Stress in Physiology and Disease, 120.852.01 Core Research Literature"
"Epidemiology","Professor","Cummings, Derek A.T.","Derek A.T.","Cummings",NA
"Health, Behavior and Society","Professor","Curbow, Barbara A.","Barbara A.","Curbow",NA
"Epidemiology","Associate Professor","Curriero, Frank C.","Frank C.","Curriero","140.698.01 Spatial Analysis III: Spatial Statistics, 140.699.01 Spatial Analysis IV: Spatial Design and Application, 340.696.01 Spatial Analysis I: ArcGIS, 601.731.86 Spatial Analysis for Public Health, 601.732.86 Spatial Data Technologies for Mapping, 601.932.86 Spatial Analysis Lab 2, 601.733.86 Applied Spatial Statistics, 601.805.86 Spatial Analysis Journal Club, 601.734.86 Spatial Applications, 601.931.86 Spatial Analysis Lab 1"
"International Health","Associate Scientist","Cwik, Mary","Mary","Cwik","224.694.01 Mental Health Intervention Programming in Low and Middle-Income Countries"
"Epidemiology","Associate Professor","D'Souza, Gypsyamber","Gypsyamber","D'Souza","340.752.01 Epidemiologic Methods 2"
"Environmental Health and Engineering","Assistant Professor","Damico, Rachel","Rachel","Damico",NA
"International Health","Professor","Daniels, Ronald J.","Ronald J.","Daniels",NA
"Environmental Health and Engineering","Professor","Dannenberg, Arthur","Arthur","Dannenberg",NA
"Biostatistics","Assistant Professor","Datta, Abhirup","Abhirup","Datta","140.724.01 Probability Theory IV"
"Health Policy and Management","Professor","Daumit, Gail L.","Gail L.","Daumit","330.639.01 The Intersection of Mental and Physical Health"
"Health, Behavior and Society","Associate Scientist","Davey-Rothwell, Melissa A.","Melissa A.","Davey-Rothwell","410.870.01 HBS Research and Proposal Writing Process for Doctoral Students I, 410.871.01 HBS Research and Proposal Writing Process for Doctoral Students II, 550.601.01 Implementation Research and Practice"
"Health, Behavior and Society","Professor","Davidson, Patricia M. ","Patricia M. ","Davidson",NA
"Health Policy and Management","Professor","Davis, Karen","Karen","Davis","308.700.81 U.S. Research On Health System Performance and Health Reform"
"Molecular Microbiology and Immunology","Assistant Professor","Davis, Kimberly","Kimberly","Davis",NA
"Environmental Health and Engineering","Assistant Professor","Davis, Meghan Frost","Meghan Frost","Davis","185.600.81 One Health Tools to Promote and Evaluate Healthy and Sustainable Communities, 185.621.60 Methods in the Exposure Sciences, 185.921.01 Quantitative Methods in the Exposure Sciences Laboratory, 180.601.01 Environmental Health"
"Health Policy and Management","Associate Professor","de Lissovoy, Gregory","Gregory","de Lissovoy","313.630.01 Economic Evaluation I, 313.632.01 Economic Evaluation III, 313.793.11 Extended Exercises in Cost Effectiveness"
"Epidemiology","Assistant Scientist","Deal, Jennifer Anne","Jennifer Anne","Deal","340.721.60 Epidemiologic Inference in Public Health I, 340.721.81 Epidemiologic Inference in Public Health I, 340.721.89 Epidemiologic Inference in Public Health I"
"Epidemiology","Assistant Professor","Dean, Lorraine T.","Lorraine T.","Dean","340.666.60 Foundations of Social Epidemiology, 340.698.01 Methods for Assessing Power, Privilege, and Public Health in the United States"
"Environmental Health and Engineering","Assistant Professor","Debasish, Sinha","Sinha","Debasish",NA
"International Health","Assistant Scientist","Debes, Amanda K.","Amanda K.","Debes",NA
"Mental Health","Assistant Professor","Debnam, Katrina J.","Katrina J.","Debnam",NA
"Population, Family and Reproductive Health","Associate Professor","Decker, Michele R.","Michele R.","Decker","380.663.01 Gender-Based Violence Research, Practice and Policy: Issues and Current Controversies, 380.666.01 Women's Health"
"Health, Behavior and Society","Assistant Professor","DeMarco, Vincent","Vincent","DeMarco",NA
"International Health","Assistant Professor","Denison, Julie A.","Julie A.","Denison","224.689.01 Health Behavior Change at the Individual, Household and Community Levels, 550.853.01 Seminar for MPH Concentration in Social and Behavioral Sciences I, 550.854.01 Seminar for MPH Concentration in Social and Behavioral Sciences II"
"Health, Behavior and Society","Associate Professor","Dennison-Himmelfarb, Cheryl R.","Cheryl R.","Dennison-Himmelfarb",NA
"Mental Health","Professor","DePaulo, Ray","Ray","DePaulo",NA
"Molecular Microbiology and Immunology","Professor","Detrick, Barbara","Barbara","Detrick",NA
"Epidemiology","Professor","Dickersin, Kay","Kay","Dickersin","340.606.01 Systematic Reviews and Meta-Analysis"
"Biostatistics","Professor","Diener-West, Marie","Marie","Diener-West","140.621.01 Statistical Methods in Public Health I, 140.621.02 Statistical Methods in Public Health I, 140.622.01 Statistical Methods in Public Health II, 140.622.02 Statistical Methods in Public Health II, 140.623.01 Statistical Methods in Public Health III, 140.623.02 Statistical Methods in Public Health III, 140.613.95 Data Analysis Workshop I, 140.614.95 Data Analysis Workshop II, 550.867.01 Introduction to MPH Studies, 550.867.01 Introduction to MPH Studies, 550.867.19 Introduction to MPH Studies, 550.867.13 Introduction to MPH Studies"
"Epidemiology","Associate Professor","Diette, Gregory B.","Gregory B.","Diette",NA
"Biostatistics","Professor","Diggle, Peter","Peter","Diggle",NA
"Molecular Microbiology and Immunology","Professor","Dimopoulos, George","George","Dimopoulos","260.815.01 The Business of Academic Biomedical Research"
"Population, Family and Reproductive Health","Professor","DiPietro, Janet","Janet","DiPietro","380.641.01 Prenatal and Infant Growth and Development"
"Health, Behavior and Society","Associate Professor","Doherty, Elaine","Elaine","Doherty",NA
"International Health","Assistant Professor","Doherty, Meg C.","Meg C.","Doherty",NA
"Mental Health","Associate Professor","Dolan, Lawrence J.","Lawrence J.","Dolan",NA
"Health, Behavior and Society","Associate Professor","Dolcini, Margaret","Margaret","Dolcini",NA
"Mental Health","Assistant Professor","Domitrovich, Celene","Celene","Domitrovich",NA
"Population, Family and Reproductive Health","Associate Professor","Donohue, Pamela K.","Pamela K.","Donohue","380.661.01 Clinical Aspects of Maternal and Newborn Health, 380.616.01 Child Health Epidemiology"
"International Health","Associate Professor","Doocy, Shannon","Shannon","Doocy","221.613.01 Introduction to Humanitarian Emergencies, 221.641.01 Measurement Methods in Humanitarian Emergencies, 221.611.01 Food Security and Nutrition in Humanitarian Emergencies"
"International Health","Associate Professor","Dorman, Susan E.","Susan E.","Dorman",NA
"Population, Family and Reproductive Health","Professor","Dover, George J.","George J.","Dover",NA
"Epidemiology","Associate Professor","Dowdy, David W.","David W.","Dowdy","340.753.01 Epidemiologic Methods 3"
"Biochemistry and Molecular Biology","Professor","Drummond-Barbosa, Daniela","Daniela","Drummond-Barbosa","120.627.01 Stem Cells and the Biology of Aging and Disease"
"International Health","Assistant Professor","Dueger, Erica Lynn","Erica Lynn","Dueger",NA
"Epidemiology","Associate Professor","Duggal, Priya","Priya","Duggal","340.731.01 Principles of Genetic Epidemiology 1, 340.731.81 Principles of Genetic Epidemiology 1, 340.863.01 Doctoral Seminars in Epidemiology, 340.863.01 Doctoral Seminars in Epidemiology, 340.731.89 Principles of Genetic Epidemiology 1"
"Population, Family and Reproductive Health","Professor","Duggan, Anne K.","Anne K.","Duggan","380.612.01 Applications in Program Monitoring and Evaluation"
"Health Policy and Management","Assistant Professor","Dunn, Kelly E. ","Kelly E. ","Dunn",NA
"International Health","Professor","Durbin, Anna P.","Anna P.","Durbin","223.867.01 Special Topics in Vaccine Science, 223.867.01 Special Topics in Vaccine Science, 223.689.01 Biologic Basis of Vaccine Development"
"Health Policy and Management","Professor","Dy, Sydney E. Morss","Sydney E. Morss","Dy","311.615.81 Quality of Medical Care, 309.732.01 Human Factors in Patient Safety, 311.615.11 Quality of Medical Care, 603.701.86 Introduction to Quality of Care for Practitioners"
"Health, Behavior and Society","Associate Professor","Eakin, Michelle","Michelle","Eakin",NA
"Mental Health","Professor","Eaton, William","William","Eaton","330.603.01 Psychiatric Epidemiology, 330.610.11 Knowledge for Managing County and Local Mental Health, Substance Use, and Developmental Disability Authorities, 330.669.89 Epidemiology of Major Mental Disorders"
"Population, Family and Reproductive Health","Assistant Scientist","Ebot-Bish, Jane O.","Jane O.","Ebot-Bish",NA
"Population, Family and Reproductive Health","Professor","Edin, Kathryn","Kathryn","Edin",NA
"International Health","Associate Scientist","Edward, Anbrasi M.","Anbrasi M.","Edward","221.722.01 Quality Assurance Management Methods for Developing Countries, 221.722.81 Quality Assurance Management Methods for Developing Countries, 221.661.01 Project Development for Primary Health Care in Developing Countries"
"Environmental Health and Engineering","Senior Scientist","Egner, Patricia A. G.","Patricia A. G.","Egner",NA
"Epidemiology","Associate Professor","Ehrhardt, Stephan","Stephan","Ehrhardt","340.752.01 Epidemiologic Methods 2, 340.802.81 Expert Searching for High Quality Evidence in the Online Environment"
"Health Policy and Management","Assistant Professor","Ehsani, Johnathon P.","Johnathon P.","Ehsani","305.861.01 Graduate Seminar in Injury Research and Policy"
"International Health","Professor","Eisele, Thomas","Thomas","Eisele",NA
"Health Policy and Management","Assistant Professor","Eisenberg, Matthew D.","Matthew D.","Eisenberg","313.644.01 Health Economics II"
"Epidemiology","Assistant Professor","Eldred, Lois J.","Lois J.","Eldred",NA
"Population, Family and Reproductive Health","Professor","Ellen, Jonathan M.","Jonathan M.","Ellen",NA
"Epidemiology","Professor","Engels, Eric A.","Eric A.","Engels",NA
"International Health","Professor","Engineer, Cyrus Y.","Cyrus Y.","Engineer","312.620.20 Performance Measurement in Health Care, 312.600.81 Managing Health Services Organizations, 221.602.62 Applications in Managing Health Organizations in Low and Middle Income Countries, 550.608.98 Problem Solving in Public Health"
"Health Policy and Management","Assistant Professor","Engineer, Lilly D.","Lilly D.","Engineer","311.861.01 Graduate Seminar in Health Care Management and Leadership, 312.620.20 Performance Measurement in Health Care, 309.864.01 Quality, Patient Safety, and Outcomes Research Practicum, 311.861.01 Graduate Seminar in Health Care Management and Leadership, 309.864.01 Quality, Patient Safety, and Outcomes Research Practicum, 311.861.01 Graduate Seminar in Health Care Management and Leadership, 309.864.01 Quality, Patient Safety, and Outcomes Research Practicum, 311.861.01 Graduate Seminar in Health Care Management and Leadership, 603.651.86 Case Studies in Quality and Patient Safety"
"Health, Behavior and Society","Professor","Ensminger, Margaret","Margaret","Ensminger",NA
"Health, Behavior and Society","Assistant Professor","Erby, Lori H.","Lori H.","Erby","415.620.92 Introduction to Genetic Counseling I, 415.851.92 Supervised Clinical Rotations: Genetic Counseling, 415.861.92 Genetic Counseling Seminar: Topics in the Field, 415.870.01 Genetic Counseling Clinical Supervision, 415.881.01 Genetic Counseling Program Thesis Proposal Development II, 415.621.92 Introduction to Genetic Counseling II, 415.851.92 Supervised Clinical Rotations: Genetic Counseling, 415.861.92 Genetic Counseling Seminar: Topics in the Field, 415.870.01 Genetic Counseling Clinical Supervision, 415.882.01 Genetic Counseling Program Thesis Proposal Development III, 415.851.92 Supervised Clinical Rotations: Genetic Counseling, 415.861.92 Genetic Counseling Seminar: Topics in the Field, 415.870.01 Genetic Counseling Clinical Supervision, 415.851.92 Supervised Clinical Rotations: Genetic Counseling, 415.861.92 Genetic Counseling Seminar: Topics in the Field, 415.870.01 Genetic Counseling Clinical Supervision, 415.880.01 Genetic Counseling Program Thesis Proposal Development I, 415.880.92 Genetic Counseling Program Thesis Proposal Development I, 415.851.92 Supervised Clinical Rotations: Genetic Counseling"
"Mental Health","Associate Professor","Erlangsen, Annette","Annette","Erlangsen",NA
"Epidemiology","Assistant Scientist","Ervin, Ann-Margret","Ann-Margret","Ervin",NA
"Biochemistry and Molecular Biology","Professor","Evans, Janice","Janice","Evans","120.620.01 Fundamentals of Reproductive Biology, 120.620.81 Fundamentals of Reproductive Biology, 120.720.01 Applying Reproductive Biology Literacy Through Service-Learning, 120.608.01 Genetics and Gene Therapy, 120.860.01 MHS Thesis Preparation, 120.870.01 MHS Thesis in Reproductive and Cancer Biology, 120.871.01 BMB ScM Preparatory Independent Study/Essay, 550.600.01 Responsible Conduct of Research"
"Mental Health","Assistant Professor","Everett, Anita Smith","Anita Smith","Everett",NA
"International Health","Professor","Everly, George S.","George S.","Everly","221.634.01 Stress Management for Relief Workers, 221.642.01 Mental Health Aspects of Disaster: Public Health Preparedness and Response"
"Environmental Health and Engineering","Assistant Scientist","Exum, Natalie","Natalie","Exum",NA
"Health, Behavior and Society","Assistant Professor","Facio, Flavia M.","Flavia M.","Facio",NA
"Health Policy and Management","Professor","Faden, Ruth","Ruth","Faden",NA
"Epidemiology","Assistant Professor","Fadrowski, Jeffrey J.","Jeffrey J.","Fadrowski",NA
"International Health","Assistant Professor","Fahey, Jed W.","Jed W.","Fahey","222.653.01 Food Technology and Health"
"Environmental Health and Engineering","Associate Professor","Fairweather, DeLisa","DeLisa","Fairweather","187.641.01 Immunology of Environmental Disease"
"Epidemiology","Assistant Professor","Fakhry, Carole","Carole","Fakhry",NA
"International Health","Assistant Professor","Fallah-Fini, Saeideh","Saeideh","Fallah-Fini",NA
"Mental Health","Professor","Fallin, Margaret Daniele","Margaret Daniele","Fallin","330.662.01 Public Mental Health, 330.700.01 Public Health Approaches in Autism and Developmental Disabilities, 330.646.11 Autism Spectrum Disorders in Public Health, 330.646.89 Autism Spectrum Disorders in Public Health, 330.690.11 Applications and Analysis of Epigenetic Data in Public Health Research, 330.990.11 Computer Lab: Epigenetic Data in Public Health Research"
"Mental Health","Professor","Fanous, Ayman H. ","Ayman H. ","Fanous",NA
"International Health","Associate Professor","Fanzo, Jessica","Jessica","Fanzo","700.895.01 Bioethics Program Practicum, 700.895.01 Bioethics Program Practicum, 700.630.01 Global Food Ethics, 700.895.01 Bioethics Program Practicum, 700.640.01 Nutrition Ethics and Policy, 700.895.01 Bioethics Program Practicum, 700.895.01 Bioethics Program Practicum, 700.895.13 Bioethics Program Practicum"
"Epidemiology","Professor","Faraday, Nauder","Nauder","Faraday",NA
"Epidemiology","Professor","Farzadegan, Homayoon","Homayoon","Farzadegan","340.646.01 Epidemiology and Public Health Impact of HIV and AIDS, 340.654.81 Epidemiology and Natural History of Human Viral Infections, 340.646.81 Epidemiology and Public Health Impact of HIV and AIDS, 340.744.01 Advanced Topics On Control and Prevention of HIV/AIDS, 340.654.01 Epidemiology and Natural History of Human Viral Infections, 340.744.81 Advanced Topics On Control and Prevention of HIV/AIDS"
"International Health","Assistant Professor","Farzin, Azadeh","Azadeh","Farzin",NA
"Health Policy and Management","Professor","Fee, Elizabeth","Elizabeth","Fee",NA
"International Health","Associate Professor","Feikin, Daniel Ross","Daniel Ross","Feikin",NA
"Mental Health","Professor","Feinberg, Andrew P.","Andrew P.","Feinberg",NA
"Epidemiology","Professor","Feinleib, Manning","Manning","Feinleib",NA
"Health Policy and Management","Associate Professor","Fessler, Henry Eric","Henry Eric","Fessler",NA
"Health, Behavior and Society","Assistant Professor","Fields, Errol L.","Errol L.","Fields","410.681.01 Gay, Bisexual and Other Men Who Have Sex With Men (MSM) and HIV: Theoretical Perspectives On the U.S. Epidemic"
"Health, Behavior and Society","Associate Scientist","Figueroa, Maria-Elena","Maria-Elena","Figueroa",NA
"Mental Health","Associate Professor","Fingerhood, Michael I.","Michael I.","Fingerhood",NA
"Health Policy and Management","Associate Professor","Finkelstein, Joseph","Joseph","Finkelstein",NA
"Mental Health","Associate Professor","Fishbein, Diane H.","Diane H.","Fishbein",NA
"Environmental Health and Engineering","Professor","Fitzgerald, Robert","Robert","Fitzgerald","183.638.01 Mechanisms of Cardiopulmonary Control, 183.642.01 The Cardiopulmonary System Under Stress"
"Environmental Health and Engineering","Associate Professor","Fitzgerald, Sheila","Sheila","Fitzgerald","188.694.81 Health of Vulnerable Worker Populations"
